View Count,Subscriber Count,Video Count,Date of Registration,Likes-Dislikes Ratio,Authenticity of Featured Channels,Label
133962582,1250000,34,112,60.55,3,1
2350,56,16,90,0.87,0,0
11267,460,14,112,0.5,0,0
34234,564,15,111,0.33,0,0
14682,455,20,112,0.45,0,0
7620,456,15,100,0.33,0,0
348,341,14,98,1.2,0,0
5614,461,15,109,1,0,0
23212,335,23,110,1,0,0
4559,3,2,100,0.33,0,0
10,0,1,111,0,0,0
93,17,1,90,0.5,0,0
28,2,1,111,0,0,0
55,9,2,98,0.4,0,0
22,6,2,96,0.34,0,0
32,0,1,112,0.23,0,0
16,1,1,111,0,0,0
35,6,10,111,1.11,0,0
775,13,5,110,0.93,0,0
56,3,6,107,0.34,0,0
1872991291,26400346,168,2190,55.67,1,1
400,38,12,112,1.23,0,0
300,40,5,190,0.83,0,0
1035,102,23,145,0.5,0,0
59,13,6,57,0.94,0,0
102,35,12,87,1.03,0,0
32,12,4,109,1.32,0,0
10,0,1,45,0.43,0,0
23,2,1,133,0.56,0,0
18,7,2,68,0.89,0,0
12,2,1,30,1,0,0
64,14,3,153,1.04,0,0
7,2,3,97,0.34,0,0
2927,162,15,523,1.45,0,0
217,43,14,219,1.22,0,0
14,0,1,134,0,0,0
4,0,0,91,0,0,0
31,3,4,93,0.73,0,0
56,9,5,193,1,0,0
19,2,3,67,1.29,0,0
2447406117,21860242,137,4161,61.9,7,1
4031,58,10,301,1.08,0,0
1440,48,6,145,1.33,0,0
117,32,6,421,1.29,0,0
89,23,5,132,0.5,0,0
75,13,4,174,0.43,0,0
13,3,2,64,1.7,0,0
12,2,1,93,0.4,0,0
23,5,3,132,0.76,0,0
76,7,2,86,1.09,0,0
13,2,1,67,0,0,0
7,1,1,152,0,0,0
1,0,1,67,0,0,0
17,2,1,74,0.56,0,0
32,5,2,161,0.43,0,0
19,6,3,73,0.76,0,0
3,1,1,124,0.34,0,0
10,3,1,103,0.54,0,0
3,1,1,32,0.66,0,0
19,5,2,92,0.69,0,0
769208049,7882345,718,1389,68.35,1,1
2341,46,31,418,0.89,0,0
175,17,13,231,0.5,0,0
221,11,18,165,0.67,0,0
123,9,14,133,0.32,0,0
111,12,13,92,0.52,0,0
56,6,34,103,1.1,0,0
30,5,12,105,0.45,0,0
10,4,2,111,0.63,0,0
44,12,19,117,1.29,0,0
7,0,3,156,1.33,0,0
34,7,6,89,1.32,0,0
54,4,7,69,0.45,0,0
12,0,1,201,0.83,0,0
7,1,2,163,0.72,0,0
15,3,5,189,0.22,0,0
9,2,2,233,0.74,0,0
2,0,1,79,0.21,0,0
3,0,1,84,0.34,0,0
4,0,1,99,0.33,0,0
927832163,10934125,146,2002,86.36,4,1
6022,201,35,402,2.45,0,0
7435,432,40,513,4.62,0,0
11123,203,37,315,3.56,0,0
65,20,12,190,1.9,0,0
9002,138,32,113,2.49,0,0
902,142,18,425,3.29,0,0
1023,172,23,123,4.2,0,0
123,18,10,241,1.39,0,0
3023,59,69,392,4.96,0,0
17,5,3,69,1.26,0,0
2019,56,38,387,1.94,0,0
802,73,37,508,4.24,0,0
1854,47,42,397,5.29,0,0
56,6,10,145,0.98,0,0
10,4,6,105,1.33,1,0
19,5,9,134,1.57,0,0
4,1,3,60,0.65,0,0
345,21,7,392,3.89,0,0
153,19,8,602,0.78,0,0
2241279214,19657823,3365,1837,47.45,1,1
1450,13,13,870,3.55,0,0
1190,20,17,503,4.29,0,0
4024,58,24,565,3.78,0,0
8309,76,78,943,5.43,0,0
504,21,35,395,1.58,0,0
239,23,42,302,2.4,0,0
17,4,6,175,1.54,0,0
436,24,34,647,3.98,0,0
8924,58,98,973,4.24,0,0
59,6,3,564,2.44,0,0
10,4,1,244,0.55,0,0
3262,46,33,538,3.24,0,0
981,23,52,255,2.34,0,0
15,9,4,234,1.87,0,0
436,78,42,703,3.76,0,0
503,39,65,670,4.29,0,0
942,43,54,124,3.21,0,0
18,5,54,69,0.57,0,0
9,2,3,111,0.33,0,0
2823408691,19589342,168,1958,69.5,1,1
1086521322,4179856,564,1063,57.23,2,1
771845913,6213491,805,2606,62.98,6,1
727910518,8819835,1373,3783,57.98,0,1
249499289,1725489,1936,1150,60.23,1,1
62539706,484000,235,2593,61.75,2,1
16897881,279000,98,4757,56.92,1,1
3400278394,14493684,6991,5614,73.22,2,1
135752279,2549823,326,2150,53.9,5,1
17553808848,3000000,8733,2880,62.97,10,1
1146644939,4325793,31,4943,59.35,1,1
29360043,338942,196,925,49.35,1,1
339714908,2519836,305,5308,64.73,1,1
1083760517,1520937,1836,1655,48.22,10,1
733584664,3039856,1551,1474,50.77,1,1
68778855387,86689234,43599,5152,66.77,10,1
2541776692,94188956,8746,4057,53.89,7,1
1405572612,3289035,3260,3327,61.33,4,1
19198023743,34590233,3614,5365,62.6,10,1
215374871,1734590,448,2078,49.33,1,1
3675,93,32,234,0.43,0,0
1132,88,14,111,3.29,0,0
444,13,7,565,3.33,0,0
902,19,10,248,4.32,0,0
635,23,14,314,3.89,0,0
123,9,8,123,2.45,0,0
1033,43,20,482,1.99,0,0
546,24,29,455,4.99,0,0
2033,43,19,149,3.75,0,0
465,34,23,223,2.76,0,0
6,2,3,56,4.56,0,0
6023,34,28,194,5.24,0,0
14,4,10,366,1.49,0,0
8,2,4,243,3.4,0,0
45,35,10,290,4.34,0,0
4034,82,32,332,3.93,0,0
56,29,19,112,2.65,0,0
234,24,24,442,4.84,0,0
796,45,43,505,0.19,0,0
407,30,16,170,2.76,0,0
6124,24,14,144,2.9,0,0
566,45,5,324,4.23,0,0
90,32,33,334,2.65,0,0
123,9,14,133,0.32,0,0
111,12,13,92,0.52,0,0
56,6,34,103,1.1,0,0
30,5,12,105,0.45,0,0
10,4,2,111,0.63,0,0
44,12,19,117,1.29,0,0
7,0,3,156,1.33,0,0
34,7,6,89,1.32,0,0
54,4,7,69,0.45,0,0
12,0,1,201,0.83,0,0
7,1,2,163,0.72,0,0
2335,234,23,452,3.54,0,0
32,11,12,313,3.23,0,0
239,23,30,122,5.32,0,0
17,32,2,111,1.43,0,0
436,33,22,424,0.34,0,0
8224,32,23,232,2.44,0,0
2325365,38200,57,1137,21.32,0,1
3350816,42200,23,66,22.97,0,0
38169,7700,3,50,10.56,0,0
1632799,35100,11,49,12.34,0,0
0,98600,0,589,0,0,0
2434,43,51,615,15.3,0,1
5570,380,24,1913,16.34,0,1
151871,1300,7,649,7.24,0,0
5460077,12600,82,1750,8.54,0,0
2827,1530,3,307,9.46,0,1
